|dates|Garfield_Washington_UnitedStates.JHU_ConfirmedCases.data|Garfield_Washington_UnitedStates.JHU_ConfirmedCases.missing|Garfield_Washington_UnitedStates.NYT_ConfirmedCases.data|Garfield_Washington_UnitedStates.NYT_ConfirmedCases.missing|Garfield_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Garfield_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Garfield_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Garfield_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-11|253.0|0|253.0|0|7.0|0|0.0|100
0|2021-11-12|253.0|0|253.0|0|7.0|0|0.0|100
0|2021-11-13|253.0|0|253.0|0|7.0|0|0.0|100
0|2021-11-14|253.0|0|253.0|0|7.0|0|0.0|100
0|2021-11-15|254.0|0|254.0|0|7.0|0|0.0|100
0|2021-11-16|254.0|0|254.0|0|7.0|0|0.0|100
0|2021-11-17|255.0|0|255.0|0|7.0|0|0.0|100
0|2021-11-18|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-19|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-20|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-21|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-22|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-23|256.0|0|256.0|0|7.0|0|0.0|100
0|2021-11-24|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-25|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-26|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-27|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-28|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-29|257.0|0|257.0|0|7.0|0|0.0|100
0|2021-11-30|259.0|0|259.0|0|7.0|0|0.0|100
0|2021-12-01|259.0|0|259.0|0|7.0|0|0.0|100
0|2021-12-02|259.0|0|259.0|0|7.0|0|0.0|100
0|2021-12-03|260.0|0|260.0|0|7.0|0|0.0|100
0|2021-12-04|260.0|0|260.0|0|7.0|0|0.0|100
0|2021-12-05|260.0|0|260.0|0|7.0|0|0.0|100
0|2021-12-06|265.0|0|265.0|0|7.0|0|0.0|100
0|2021-12-07|266.0|0|266.0|0|7.0|0|0.0|100
0|2021-12-08|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-09|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-10|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-11|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-12|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-13|269.0|0|269.0|0|7.0|0|0.0|100
0|2021-12-14|269.0|0|270.0|0|7.0|0|0.0|100
0|2021-12-15|270.0|0|270.0|0|7.0|0|0.0|100
0|2021-12-16|271.0|0|271.0|0|7.0|0|0.0|100
0|2021-12-17|271.0|0|271.0|0|7.0|0|0.0|100
0|2021-12-18|271.0|0|271.0|0|7.0|0|0.0|100
0|2021-12-19|271.0|0|271.0|0|7.0|0|0.0|100
0|2021-12-20|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-21|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-22|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-23|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-24|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-25|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-26|273.0|0|273.0|0|7.0|0|0.0|100
0|2021-12-27|274.0|0|274.0|0|7.0|0|0.0|100
0|2021-12-28|274.0|0|274.0|0|7.0|0|0.0|100
0|2021-12-29|274.0|0|274.0|0|7.0|0|0.0|100
0|2021-12-30|274.0|0|275.0|0|7.0|0|0.0|100
0|2021-12-31|275.0|0|275.0|0|7.0|0|0.0|100
0|2022-01-01|275.0|0|275.0|0|7.0|0|0.0|100
0|2022-01-02|275.0|0|275.0|0|7.0|0|0.0|100
0|2022-01-03|277.0|0|277.0|0|7.0|0|0.0|100
0|2022-01-04|277.0|0|277.0|0|7.0|0|0.0|100
0|2022-01-05|282.0|0|282.0|0|7.0|0|0.0|100
0|2022-01-06|286.0|0|286.0|0|7.0|0|0.0|100
0|2022-01-07|286.0|0|286.0|0|7.0|0|0.0|100
0|2022-01-08|286.0|0|286.0|0|7.0|0|0.0|100
0|2022-01-09|286.0|0|286.0|0|7.0|0|0.0|100
0|2022-01-10|288.0|0|288.0|0|7.0|0|0.0|100
0|2022-01-11|291.0|0|291.0|0|7.0|0|0.0|100
0|2022-01-12|294.0|0|294.0|0|7.0|0|0.0|100
0|2022-01-13|294.0|0|295.0|0|7.0|0|0.0|100
0|2022-01-14|296.0|0|296.0|0|7.0|0|0.0|100
0|2022-01-15|296.0|0|296.0|0|7.0|0|0.0|100
0|2022-01-16|296.0|0|296.0|0|7.0|0|0.0|100
0|2022-01-17|296.0|0|0.0|100|7.0|0|0.0|100
