|dates|Monroe_Wisconsin_UnitedStates.AveragePrecipitationTotal.data|Monroe_Wisconsin_UnitedStates.AveragePrecipitationTotal.missing|Monroe_Wisconsin_UnitedStates.AveragePrecipitation.data|Monroe_Wisconsin_UnitedStates.AveragePrecipitation.missing|Monroe_Wisconsin_UnitedStates.AverageWindDirection.data|Monroe_Wisconsin_UnitedStates.AverageWindDirection.missing|Monroe_Wisconsin_UnitedStates.AverageWindSpeed.data|Monroe_Wisconsin_UnitedStates.AverageWindSpeed.missing
0|2021-11-10|0.0|0|0.014166666666666668|0|60.572916666666664|0|5.1875|0
0|2021-11-11|0.025833333333333333|0|0.031666666666666655|0|216.30208333333334|0|10.557291666666666|0
0|2021-11-12|0.021666666666666667|0|0.005052083333333336|0|240.52083333333334|0|6.760416666666667|0
0|2021-11-13|0.00375|0|0.0003645833333333333|0|269.0104166666667|0|8.125|0
0|2021-11-14|0.00375|0|0.0037500000000000003|0|301.09375|0|8.786458333333334|0
0|2021-11-15|0.0|0|0.0|0|30.416666666666668|0|0.5833333333333334|0
0|2021-11-16|0.0|0|0.0|0|81.66666666666667|0|5.666666666666667|0
0|2021-11-17|0.0|0|0.0|0|224.375|0|9.489583333333334|0
0|2021-11-18|0.0|0|0.0|0|274.84375|0|11.833333333333334|0
0|2021-11-19|0.0|0|0.0|0|110.57291666666667|0|5.109375|0
0|2021-11-20|0.0|0|0.0|0|140.20833333333334|0|3.609375|0
0|2021-11-21|0.0|0|0.0|0|188.22916666666666|0|8.375|0
0|2021-11-22|0.0|0|0.0|0|199.6875|0|4.666666666666667|0
0|2021-11-23|0.0|0|0.0|0|116.04166666666667|0|6.5|0
0|2021-11-24|0.0|0|0.0|0|202.39583333333334|0|8.203125|0
0|2021-11-25|0.0|0|0.0|0|321.1458333333333|0|11.192708333333334|0
0|2021-11-26|0.0|0|0.0|0|221.92708333333334|0|8.463541666666666|0
0|2021-11-27|0.0|0|0.0|0|178.28125|0|3.96875|0
0|2021-11-28|0.0|0|0.0|0|203.125|0|7.463541666666667|0
0|2021-11-29|0.0|0|0.0|0|77.1875|0|3.671875|0
0|2021-11-30|0.0|0|0.0|0|128.64583333333334|0|3.5364583333333335|0
0|2021-12-01|0.004583333333333333|0|0.004583333333333334|0|172.96875|0|6.447916666666667|0
0|2021-12-02|0.0|0|0.0|0|229.53125|0|7.135416666666667|0
0|2021-12-03|0.0016666666666666668|0|0.0037500000000000016|0|46.666666666666664|0|1.0|0
0|2021-12-04|0.0020833333333333333|0|0.0|0|180.52083333333334|0|4.515625|0
0|2021-12-05|0.0|0|0.0|0|136.25|0|6.390625|0
0|2021-12-06|0.0|0|0.0|0|289.4739583333333|0|15.479166666666666|0
0|2021-12-07|0.0|0|0.0|0|143.265625|0|2.9270833333333335|0
0|2021-12-08|0.0|0|0.0004166666666666667|0|56.614583333333336|0|2.1354166666666665|0
0|2021-12-09|0.0004166666666666667|0|0.0|0|99.32291666666667|0|4.625|0
0|2021-12-10|0.0|0|0.0|0|50.260416666666664|0|5.140625|0
0|2021-12-11|0.0|0|0.0008333333333333334|0|250.98958333333334|0|10.15625|0
0|2021-12-12|0.0008333333333333334|0|0.005833333333333333|0|182.55208333333334|0|7.296875|0
0|2021-12-13|0.0062499999999999995|0|0.0008333333333333334|0|57.604166666666664|0|1.3802083333333333|0
0|2021-12-14|0.0004166666666666667|0|0.0|0|91.19791666666667|0|5.140625|0
0|2021-12-15|0.0|0|0.01625|0|151.66666666666666|0|10.291666666666666|0
0|2021-12-16|0.01625|0|0.0|0|255.57291666666666|0|18.640625|0
0|2021-12-17|0.0|0|0.0|0|109.89583333333333|0|3.9427083333333335|0
0|2021-12-18|0.0|0|0.0|0|172.5|0|4.859375|0
0|2021-12-19|0.0|0|0.0|0|148.17708333333334|0|6.916666666666667|0
0|2021-12-20|0.0|0|0.0|0|238.48958333333334|0|6.083333333333333|0
0|2021-12-21|0.0|0|0.0|0|170.72916666666666|0|6.942708333333333|0
0|2021-12-22|0.0|0|0.0|0|90.9375|0|2.0572916666666665|0
0|2021-12-23|0.0|0|0.0|0|70.0|0|2.4583333333333335|0
0|2021-12-24|0.0|0|0.0|0|102.5|0|2.75|0
0|2021-12-25|0.0|0|0.0|0|117.5|0|2.3333333333333335|0
0|2021-12-26|0.0|0|0.0|0|56.770833333333336|0|6.3125|0
0|2021-12-27|0.0|0|0.006666666666666667|0|184.11458333333334|0|9.078125|0
0|2021-12-28|0.006666666666666667|0|0.0|0|79.73958333333333|0|3.0989583333333335|0
0|2021-12-29|0.0|0|0.0|0|181.45833333333334|0|5.177083333333333|0
0|2021-12-30|0.0|0|0.0|0|103.75|0|3.6927083333333335|0
0|2021-12-31|0.0|0|0.0008333333333333334|0|136.35416666666666|0|3.984375|0
0|2022-01-01|0.0008333333333333334|0|0.0|0|294.4791666666667|0|6.864583333333333|0
0|2022-01-02|0.0|0|0.0|0|69.16666666666667|0|0.75|0
0|2022-01-03|0.0|0|0.0|0|90.83333333333333|0|2.5833333333333335|0
0|2022-01-04|0.0|0|0.0012499999999999998|0|129.11458333333334|0|4.640625|0
0|2022-01-05|0.00125|0|0.0|0|273.3333333333333|0|12.401041666666666|0
0|2022-01-06|0.0|0|0.0|0|300.46875|0|7.291666666666667|0
0|2022-01-07|0.0|0|0.0|0|57.552083333333336|0|2.5208333333333335|0
0|2022-01-08|0.0|0|0.0|0|183.90625|0|8.885416666666666|0
0|2022-01-09|0.0|0|0.0|0|253.33333333333334|0|9.619791666666666|0
0|2022-01-10|0.0|0|0.0|0|184.375|0|4.515625|0
0|2022-01-11|0.0|0|0.0|0|131.25|0|5.505208333333333|0
0|2022-01-12|0.0|0|0.0025|0|58.333333333333336|0|1.328125|0
0|2022-01-13|0.0025|0|0.0|0|138.22916666666666|0|3.140625|0
0|2022-01-14|0.0|0|0.0|0|68.85416666666667|0|8.03125|0
0|2022-01-15|0.0|0|0.0|0|43.75|0|3.828125|0
0|2022-01-16|0.0|0|0.0|0|190.78125|0|5.505208333333333|0
0|2022-01-17|0.0|0|0.002083333333333334|0|244.21875|0|6.203125|0
