|dates|Meigs_Ohio_UnitedStates.JHU_ConfirmedCases.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Meigs_Ohio_UnitedStates.NYT_ConfirmedCases.data|Meigs_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Meigs_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Meigs_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Meigs_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-25|3001.0|0|3001.0|0|57.0|0|0.0|100
0|2021-11-26|3007.0|0|3007.0|0|57.0|0|0.0|100
0|2021-11-27|3007.0|0|3009.0|0|57.0|0|0.0|100
0|2021-11-28|3014.0|0|3014.0|0|57.0|0|0.0|100
0|2021-11-29|3024.0|0|3024.0|0|57.0|0|0.0|100
0|2021-11-30|3034.0|0|3034.0|0|59.0|0|0.0|100
0|2021-12-01|3038.0|0|3038.0|0|59.0|0|0.0|100
0|2021-12-02|3049.0|0|3049.0|0|59.0|0|0.0|100
0|2021-12-03|3059.0|0|3059.0|0|61.0|0|0.0|100
0|2021-12-04|3070.0|0|3070.0|0|61.0|0|0.0|100
0|2021-12-05|3075.0|0|3075.0|0|61.0|0|0.0|100
0|2021-12-06|3079.0|0|3079.0|0|61.0|0|0.0|100
0|2021-12-07|3091.0|0|3091.0|0|61.0|0|0.0|100
0|2021-12-08|3099.0|0|3099.0|0|61.0|0|0.0|100
0|2021-12-09|3110.0|0|3110.0|0|61.0|0|0.0|100
0|2021-12-10|3116.0|0|3116.0|0|62.0|0|0.0|100
0|2021-12-11|3124.0|0|3124.0|0|62.0|0|0.0|100
0|2021-12-12|3132.0|0|3132.0|0|62.0|0|0.0|100
0|2021-12-13|3138.0|0|3138.0|0|62.0|0|0.0|100
0|2021-12-14|3138.0|0|3145.0|0|62.0|0|0.0|100
0|2021-12-15|3156.0|0|3156.0|0|62.0|0|0.0|100
0|2021-12-16|3161.0|0|3161.0|0|62.0|0|0.0|100
0|2021-12-17|3168.0|0|3168.0|0|63.0|0|0.0|100
0|2021-12-18|3179.0|0|3179.0|0|63.0|0|0.0|100
0|2021-12-19|3186.0|0|3186.0|0|63.0|0|0.0|100
0|2021-12-20|3190.0|0|3190.0|0|63.0|0|0.0|100
0|2021-12-21|3199.0|0|3199.0|0|65.0|0|0.0|100
0|2021-12-22|3207.0|0|3207.0|0|65.0|0|0.0|100
0|2021-12-23|3223.0|0|3223.0|0|65.0|0|0.0|100
0|2021-12-24|3231.0|0|3231.0|0|67.0|0|0.0|100
0|2021-12-25|3231.0|0|3231.0|0|67.0|0|0.0|100
0|2021-12-26|3248.0|0|3248.0|0|67.0|0|0.0|100
0|2021-12-27|3251.0|0|3251.0|0|67.0|0|0.0|100
0|2021-12-28|3263.0|0|3263.0|0|67.0|0|0.0|100
0|2021-12-29|3273.0|0|3273.0|0|67.0|0|0.0|100
0|2021-12-30|3291.0|0|3291.0|0|67.0|0|0.0|100
0|2021-12-31|3302.0|0|3302.0|0|67.0|0|0.0|100
0|2022-01-01|3302.0|0|3302.0|0|67.0|0|0.0|100
0|2022-01-02|3324.0|0|3324.0|0|67.0|0|0.0|100
0|2022-01-03|3339.0|0|3339.0|0|67.0|0|0.0|100
0|2022-01-04|3358.0|0|3358.0|0|67.0|0|0.0|100
0|2022-01-05|3376.0|0|3376.0|0|67.0|0|0.0|100
0|2022-01-06|3405.0|0|3405.0|0|67.0|0|0.0|100
0|2022-01-07|3421.0|0|3421.0|0|69.0|0|0.0|100
0|2022-01-08|3437.0|0|3437.0|0|69.0|0|0.0|100
0|2022-01-09|3443.0|0|3443.0|0|69.0|0|0.0|100
0|2022-01-10|3463.0|0|3463.0|0|69.0|0|0.0|100
0|2022-01-11|3489.0|0|3489.0|0|70.0|0|0.0|100
0|2022-01-12|3508.0|0|3508.0|0|70.0|0|0.0|100
0|2022-01-13|3508.0|0|3534.0|0|70.0|0|0.0|100
0|2022-01-14|3598.0|0|3598.0|0|71.0|0|0.0|100
0|2022-01-15|3670.0|0|3670.0|0|71.0|0|0.0|100
0|2022-01-16|3728.0|0|3728.0|0|71.0|0|0.0|100
0|2022-01-17|3750.0|0|0.0|100|71.0|0|0.0|100
