|dates|Winston_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Winston_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Winston_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Winston_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Winston_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-11-13|3172.0|0|3172.0|0|91.0|0|0.0|100
0|2021-11-14|3172.0|0|3172.0|0|91.0|0|0.0|100
0|2021-11-15|3173.0|0|3173.0|0|91.0|0|0.0|100
0|2021-11-16|3174.0|0|3174.0|0|92.0|0|0.0|100
0|2021-11-17|3174.0|0|3174.0|0|92.0|0|0.0|100
0|2021-11-18|3176.0|0|3176.0|0|92.0|0|0.0|100
0|2021-11-19|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-20|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-21|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-22|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-23|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-24|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-25|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-26|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-27|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-28|3177.0|0|3177.0|0|92.0|0|0.0|100
0|2021-11-29|3178.0|0|3178.0|0|92.0|0|0.0|100
0|2021-11-30|3178.0|0|3178.0|0|92.0|0|0.0|100
0|2021-12-01|3179.0|0|3179.0|0|92.0|0|0.0|100
0|2021-12-02|3179.0|0|3179.0|0|92.0|0|0.0|100
0|2021-12-03|3183.0|0|3183.0|0|92.0|0|0.0|100
0|2021-12-04|3183.0|0|3183.0|0|92.0|0|0.0|100
0|2021-12-05|3183.0|0|3183.0|0|92.0|0|0.0|100
0|2021-12-06|3188.0|0|3188.0|0|92.0|0|0.0|100
0|2021-12-07|3190.0|0|3190.0|0|92.0|0|0.0|100
0|2021-12-08|3197.0|0|3197.0|0|92.0|0|0.0|100
0|2021-12-09|3199.0|0|3199.0|0|92.0|0|0.0|100
0|2021-12-10|3203.0|0|3203.0|0|92.0|0|0.0|100
0|2021-12-11|3203.0|0|3203.0|0|92.0|0|0.0|100
0|2021-12-12|3203.0|0|3203.0|0|92.0|0|0.0|100
0|2021-12-13|3206.0|0|3206.0|0|92.0|0|0.0|100
0|2021-12-14|3206.0|0|3207.0|0|92.0|0|0.0|100
0|2021-12-15|3210.0|0|3210.0|0|92.0|0|0.0|100
0|2021-12-16|3215.0|0|3215.0|0|92.0|0|0.0|100
0|2021-12-17|3216.0|0|3216.0|0|92.0|0|0.0|100
0|2021-12-18|3216.0|0|3216.0|0|92.0|0|0.0|100
0|2021-12-19|3216.0|0|3216.0|0|92.0|0|0.0|100
0|2021-12-20|3219.0|0|3219.0|0|92.0|0|0.0|100
0|2021-12-21|3220.0|0|3220.0|0|92.0|0|0.0|100
0|2021-12-22|3228.0|0|3228.0|0|92.0|0|0.0|100
0|2021-12-23|3228.0|0|3228.0|0|92.0|0|0.0|100
0|2021-12-24|3228.0|0|3228.0|0|92.0|0|0.0|100
0|2021-12-25|3228.0|0|3228.0|0|92.0|0|0.0|100
0|2021-12-26|3228.0|0|3228.0|0|92.0|0|0.0|100
0|2021-12-27|3240.0|0|3240.0|0|92.0|0|0.0|100
0|2021-12-28|3243.0|0|3243.0|0|92.0|0|0.0|100
0|2021-12-29|3264.0|0|3264.0|0|92.0|0|0.0|100
0|2021-12-30|3278.0|0|3278.0|0|93.0|0|0.0|100
0|2021-12-31|3278.0|0|3278.0|0|93.0|0|0.0|100
0|2022-01-01|3278.0|0|3278.0|0|93.0|0|0.0|100
0|2022-01-02|3278.0|0|3278.0|0|93.0|0|0.0|100
0|2022-01-03|3379.0|0|3379.0|0|94.0|0|0.0|100
0|2022-01-04|3392.0|0|3392.0|0|94.0|0|0.0|100
0|2022-01-05|3452.0|0|3452.0|0|94.0|0|0.0|100
0|2022-01-06|3506.0|0|3506.0|0|94.0|0|0.0|100
0|2022-01-07|3560.0|0|3560.0|0|94.0|0|0.0|100
0|2022-01-08|3560.0|0|3560.0|0|94.0|0|0.0|100
0|2022-01-09|3560.0|0|3560.0|0|94.0|0|0.0|100
0|2022-01-10|3560.0|0|3645.0|0|94.0|0|0.0|100
0|2022-01-11|3753.0|0|3753.0|0|95.0|0|0.0|100
0|2022-01-12|3753.0|0|3804.0|0|95.0|0|0.0|100
0|2022-01-13|3753.0|0|3919.0|0|95.0|0|0.0|100
0|2022-01-14|3969.0|0|3969.0|0|95.0|0|0.0|100
0|2022-01-15|3969.0|0|3969.0|0|95.0|0|0.0|100
0|2022-01-16|3969.0|0|3969.0|0|95.0|0|0.0|100
0|2022-01-17|3969.0|0|0.0|100|95.0|0|0.0|100
