|dates|Knox_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Knox_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Knox_Missouri_UnitedStates.Male_Total_Population.data|Knox_Missouri_UnitedStates.Male_Total_Population.missing|Knox_Missouri_UnitedStates.Female_Total_Population.data|Knox_Missouri_UnitedStates.Female_Total_Population.missing|Knox_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Knox_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-10|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-11|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-12|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-13|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-14|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-15|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-16|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-17|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-18|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-19|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-20|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-21|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-22|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-23|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-24|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-25|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-26|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-27|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-28|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-29|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-11-30|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-01|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-02|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-03|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-04|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-05|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-06|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-07|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-08|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-09|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-10|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-11|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-12|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-13|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-14|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-15|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-16|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-17|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-18|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-19|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-20|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-21|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-22|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-23|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-24|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-25|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-26|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-27|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-28|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-29|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-30|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2021-12-31|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-01|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-02|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-03|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-04|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-05|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-06|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-07|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-08|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-09|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-10|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-11|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-12|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-13|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-14|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-15|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-16|871.0|0|1974.0|0|1973.0|0|917.0|0
0|2022-01-17|871.0|0|1974.0|0|1973.0|0|917.0|0
