|dates|Unassigned_Vermont_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Vermont_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Vermont_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|138.0|0|138.0|0|0.0|0|0.0|100
0|2021-12-29|472.0|0|472.0|0|0.0|0|0.0|100
0|2021-12-30|713.0|0|713.0|0|0.0|0|0.0|100
0|2021-12-31|713.0|0|713.0|0|0.0|0|0.0|100
0|2022-01-01|713.0|0|713.0|0|0.0|0|0.0|100
0|2022-01-02|713.0|0|713.0|0|0.0|0|0.0|100
0|2022-01-03|344.0|0|344.0|0|0.0|0|0.0|100
0|2022-01-04|344.0|0|1508.0|0|0.0|0|0.0|100
0|2022-01-05|1477.0|0|1477.0|0|0.0|0|0.0|100
0|2022-01-06|2590.0|0|2590.0|0|0.0|0|0.0|100
0|2022-01-07|3718.0|0|3718.0|0|0.0|0|0.0|100
0|2022-01-08|5272.0|0|5272.0|0|0.0|0|0.0|100
0|2022-01-09|5026.0|0|5026.0|0|0.0|0|0.0|100
0|2022-01-10|5026.0|0|5026.0|0|0.0|0|0.0|100
0|2022-01-11|5026.0|0|5026.0|0|0.0|0|0.0|100
0|2022-01-12|7201.0|0|7201.0|0|0.0|0|0.0|100
0|2022-01-13|7201.0|0|7804.0|0|0.0|0|0.0|100
0|2022-01-14|8775.0|0|8775.0|0|0.0|0|0.0|100
0|2022-01-15|9537.0|0|9537.0|0|0.0|0|0.0|100
0|2022-01-16|11139.0|0|11139.0|0|0.0|0|0.0|100
0|2022-01-17|11139.0|0|0.0|100|0.0|0|0.0|100
