|dates|Caroline_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Caroline_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Caroline_Virginia_UnitedStates.Male_Total_Population.data|Caroline_Virginia_UnitedStates.Male_Total_Population.missing|Caroline_Virginia_UnitedStates.Female_Total_Population.data|Caroline_Virginia_UnitedStates.Female_Total_Population.missing|Caroline_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Caroline_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-11-20|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-21|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-22|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-23|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-24|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-25|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-26|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-27|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-28|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-29|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-11-30|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-01|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-02|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-03|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-04|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-05|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-06|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-07|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-08|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-09|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-10|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-11|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-12|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-13|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-14|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-15|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-16|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-17|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-18|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-19|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-20|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-21|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-22|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-23|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-24|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-25|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-26|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-27|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-28|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-29|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-30|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2021-12-31|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-01|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-02|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-03|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-04|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-05|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-06|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-07|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-08|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-09|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-10|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-11|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-12|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-13|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-14|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-15|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-16|5050.0|0|15214.0|0|15558.0|0|7079.0|0
0|2022-01-17|5050.0|0|15214.0|0|15558.0|0|7079.0|0
