|dates|Blaine_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Blaine_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Blaine_Nebraska_UnitedStates.Male_Total_Population.data|Blaine_Nebraska_UnitedStates.Male_Total_Population.missing|Blaine_Nebraska_UnitedStates.Female_Total_Population.data|Blaine_Nebraska_UnitedStates.Female_Total_Population.missing|Blaine_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Blaine_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-12-07|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-08|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-09|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-10|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-11|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-12|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-13|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-14|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-15|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-16|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-17|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-18|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-19|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-20|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-21|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-22|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-23|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-24|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-25|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-26|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-27|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-28|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-29|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-30|121.0|0|240.0|0|236.0|0|91.0|0
0|2021-12-31|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-01|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-02|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-03|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-04|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-05|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-06|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-07|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-08|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-09|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-10|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-11|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-12|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-13|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-14|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-15|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-16|121.0|0|240.0|0|236.0|0|91.0|0
0|2022-01-17|121.0|0|240.0|0|236.0|0|91.0|0
